"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE","Absolute score (sig.score)"
"TCGA.BR.8372.01",0,0.0581855006995549,0,0.0380128447599176,0,0.0827004042978965,0.0489759114600452,0.0307884795307443,0.0103661071459316,0.00190166369588419,0,0.042966964644239,0,0.030965191460187,0.0602879370656197,0.137218016094806,0.0300154723822152,0,0.0103197900460317,0,0,0,9999,0.240382899063477,0.989170694963546,0.582704283283073
"TCGA.HC.7742.01",0.004672328680545,0,0.0506806611356818,0.0155101177614948,0,0.0161332151946959,0,0.00246827289172288,0,0,0,0.0112081914476373,0.00671901868631551,0.0052724829360645,0.0130162487499725,0.0182779156567029,0.00478317671956867,0,0.0129079618634476,0,0,0,9999,-0.00565535506253041,1.06547874061366,0.161649591723849
"TCGA.DD.A3A6.11",0.000680393988675363,0,0.000232906185198537,0.00413408968600738,0,0,0,0.000352690179383009,5.10951838634412e-05,0,0.00101231649374673,0,0.000903283481483097,0.00205430427772883,0.00196084139748537,0.000281186078340012,0,0,0.00337482176252494,0,0,0,9999,-0.0218138969035558,1.11490196755044,0.0150379287144367
"TCGA.64.1679.01",0.0146368049090169,0,0.0525740113933574,0.00574133152570039,0,0.0282844418472586,0,0.00544137426469097,0.0193339306303467,0,0,0.00438255013266517,0.00205142933600868,0.106767248465238,0.0157693915068486,0.184175219591875,0.0708144366074097,0,0,0.013246659856371,0,0.00684795929989501,9999,0.405443191672746,0.919186036307264,0.530066789366682
"TCGA.CV.5976.01",0,0,0.0029239450654332,0.0004229792705879,0,0.0395687734957579,0,0.00218778959147509,0,0,0.00172085254167528,0.00519937410797806,0,0.0582940555628736,0.0196202353710085,0.0535813020376363,0.00342105754255492,0,0,0.0188916708593879,0,0,9999,0.341565472740356,0.959657648929059,0.205832035446369
"TCGA.25.1315.01",0,0.000248147335662203,0.0023296568172649,0.00740264695688025,0,0.0128692220286337,0,0.00829453702607793,0.00438482433979745,0,0,0.0124108353978501,0.00539441512847438,0,0,0.0429973055217782,0,0.00843640022461539,0.0089504017891529,0,0,0,9999,-0.0328133141853235,1.10721543627986,0.113718392566187
"TCGA.2G.AAFZ.01",0.0274569350837405,0,0.0117339225176011,0.0354678559594145,0,0.0295808997651658,0,0.030802658746237,0.0251441481007217,0,0,0.0121955413888908,0.0326255465047747,0.0383604698538438,0.0107006275873032,0.123214838363312,0,0.00058596836872872,0.00746543150970619,0,0,0,9999,0.10260607608852,1.04693184972012,0.38533484374944
"TCGA.LN.A4MQ.01",0.00122778651111789,0,0.0207687269197171,0.00829460832486837,0,0.018795365397014,0,0.00789843666264009,0.00720774937456589,0,0.0105589459090877,0.0045147622137971,0.00939936712776242,0,0,0.0472544153847273,0.00776605177138478,0.00732325771854088,0.00320622380547231,0,0.00184451233711648,0.000894513293750452,9999,-0.0321296868019792,1.08407950400554,0.156954722751563
"TCGA.CV.6948.01",0.00342198898176727,0,0.0106201850739369,0.0101344655799151,0,0.0207060810931983,0.0113055232055147,0.00074035409787198,0,0.00351520078862892,0,0.0302610483732547,0,0.0624639867085063,0.038673279041312,0.0829498267802143,0.0102421745573078,0,0.00820029467089121,0,0,0,9999,0.457947300001422,0.890416289805499,0.29323440895232
"TCGA.K7.AAU7.01",0.0127077638787784,0,0.0102657744856557,0.0128510800309902,0,0.0520305429223566,0,0.025517496187601,0.0121581393484258,0,0,0.0193361419235744,0.00345023046534888,0.0598459321058706,0.0195260948327288,0.0897163368586406,0.0109574817442101,0,0,0.00636337938760046,0,0.0224260911308864,9999,0.0924073678596194,1.05847445218261,0.357152485302668
