"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE","Absolute score (sig.score)"
"GTEX.1122O.1526.SM.5N9CL",0.0142968973877321,0,0.0374362857589872,0.0492646343627842,0,0.0679956488695332,0,0,0,0,0.0193430818890305,0.0027853519582545,0.00826615742766699,0,0,0.100404459239628,0,0,0.0177842909201339,0,0,0,9999,-0.00461085292087635,1.08433618963891,0.317576807813751
"GTEX.1497J.1226.SM.5Q5BL",0.00293315069241625,0,0.00266010582256829,0.00207901863514007,0,0.0051455720898275,0,0.00118856049293931,0.0024769551643664,0,0.00515053549505684,0,0.0128731268859964,0,0.000319608206613389,0.0285082901132982,0,0,0.00341418744511842,0,0,0.00357754857430858,9999,0.0926564081381283,1.06132511960117,0.0703266596176497
"GTEX.13OW7.2726.SM.5L3HN",0.00424987400897164,0,0.00161655429160672,0.0115371365549996,0,0.0210437453355533,0,4.69783114596034e-05,0,0,0.0136786875602225,0.00261933608323766,0.00998246167514639,0,0,0.0622823913949963,0,0,0,0.00880208928838783,0.000406225834197166,0,9999,0.0688980375809191,1.07897298279171,0.136265480338779
"GTEX.QLQ7.0826.SM.447B3",0.0187253471888961,0,0.0335204094114348,0.0316480309372968,0,0.0485536980783726,0,0.00392524918051102,0,0,0.00381942257581129,0,0.00878307306952764,0,0.00669611986684331,0.0178227229212747,0,0,0.0173900142160082,0.0222939095909709,0,0,9999,0.166469977857404,1.01483094483582,0.213177997036947
"GTEX.XPVG.1026.SM.4B64Y",0,0,0.0196280128873278,0.0311864206334276,0,0.128464343240995,0,0,0,0,0.0540094657924799,0,0.25344630355074,0,0,0.300106665506041,0,0.0284988963136421,0.0957930166523009,0,0,0.0547628661880635,9999,0.425282179198852,0.905260250575149,0.965895990765017
"GTEX.WYBS.1026.SM.4ONCY",0.0898566106179776,0,0.00413775510294649,0.156529863296351,0,0.139490048639449,0,0.0169040904793694,0,0,0.0851269611098146,0,0.0658752864446606,0,0.114508211631151,0.115190464016814,0,0,0.0314665579073247,0,0,0.00179372168252405,9999,0.216909806562653,1.01008781866848,0.820879570928383
"GTEX.ZPCL.1426.SM.57WEC",0.00818453263069542,0,0.0336370146114677,0.0224890920261198,0,0.0295694263444532,0,0.00624227504845572,0,0,0.014733741102704,0.00195470389719763,0.0111959439053631,0,0.000561575158014724,0.041407181314824,0.0146086918606819,0,0.02201166168877,0,0,0,9999,-0.0262564991305792,1.07266145885726,0.206595839588747
"GTEX.Y114.2626.SM.4TT8Y",0.0181623554060233,0,0.00204768226386625,0.0196937737916987,0,0.0429131218991174,0,0.035124372057827,0,0,0.00313404780018295,0.0109114738613403,0.0190927490389452,0,0.00159061007953899,0.120545049294318,0,0.00114930473990152,0.0168408343577761,0,0,0,9999,0.0977743129696586,1.05231260534418,0.291205374590536
"GTEX.ZZPU.0326.SM.5N9BJ",0.0205742254016401,0,0.0212147786693967,0.0446490463887802,0,0.0517010386963347,0,0.0226197054154541,0.00698450033831691,0,0.0310578051982005,0.00175879057126008,0.152199558349496,0.0148729484280696,0.000276274138923972,0.194758581910747,0,0,0,0.0335573026385785,0,0.0718929739489818,9999,0.249580268861603,0.994639832553686,0.668117530094179
"GTEX.VJYA.0826.SM.4KL1M",0.00290285072118939,0,0.00655596762702512,0.0274933367826309,0,0.00648093581390081,0,0.0167218549294925,0.00794023146284105,0,0,0.00702687067430798,0.00380079894539512,0.00110400099148653,0.00178220223082439,0.0127357401513646,0,0,0.0351213596234498,0,0,0,9999,0.0559919383641682,1.07685339302212,0.129666149953908
"GTEX.ZPU1.2126.SM.57WED",0.10376131901143,0,0.00284974468109902,0,0,0.135212617911521,0,0.0168017666846673,0.0283186304728262,0,0.029107685416399,0,0.016618702428521,0,0,0.011644556370786,0,0,0.00512334922311251,0,0,0,9999,-0.00994807928792437,1.12767260086312,0.349438372200361
"GTEX.X585.0008.SM.46MU4",0,0,0,0.000654178132425817,0.0173816148068983,0.0101188047933643,0,0,0,0,0.0058607225866749,0,0.00233947681732108,0.00516722884562087,0,0,0,0.00321592304064416,0,0.00251371335966531,0,0,9999,-0.0269428862089387,1.14119791788407,0.0472516623826147
"GTEX.S4UY.0426.SM.3K2AF",0.000993805749770657,0,0.00143719919971605,0.00134522873613952,0,0.0390449512033068,0,0.0068122572255673,0.00340942790346542,0,0.023441894583907,0,0.0114707656085478,0,0.00442540744040465,0.0269518200050217,0.00074060865558112,0,0.0203206968232613,0,0,0.00136128776575252,9999,0.00601965921834127,1.0874428258508,0.141755350900442
"GTEX.12WSD.2826.SM.59HKT",0.0373854525457412,0,0.000534827510126008,0.0519049858713757,0,0.0807273884210737,0,0.0186462321534432,0,0,0,0.0260773493576372,0.00807827853564008,0,0,0.0681647663965099,0,0,0.0315545828288239,0,0,0,9999,0.0873103820680689,1.0633072152161,0.323073863620371
"GTEX.NPJ7.0011.R6a.SM.2I3G7",0.00144800797162984,0,0,0,0.00744781457280519,0.0299222724715408,0,0.0158401912570165,0.00635363780048244,0,0.00573175091227119,0.0011787337337235,0.00293872887118211,0.00226593336001773,0.00201714091234406,0.026023970824147,0.000817982360832242,0,0.027724938465022,0,0,0.00215211472160216,9999,0.00630668578539913,1.08663792293715,0.131863218234617
